Date,Open,High,Low,Close,Adj Close,Volume
2018-11-07,42.150002,42.279999,41.830002,42.279999,33.602123,2092000
2018-11-08,42.259998,42.410000,41.790001,41.930000,33.323963,1586600
2018-11-09,41.240002,41.369999,41.070000,41.230000,32.767635,2799200
2018-11-12,41.240002,41.240002,40.799999,40.880001,32.489471,1609600
2018-11-13,41.509998,42.020000,41.480000,41.790001,33.212692,2919100
2018-11-14,42.099998,42.099998,41.340000,41.770000,33.196804,1899500
2018-11-15,41.450001,42.419998,41.349998,42.400002,33.697502,2151200
2018-11-16,41.830002,42.279999,41.770000,42.240002,33.570335,1909900
2018-11-19,42.189999,42.240002,41.650002,41.910000,33.308064,1588300
2018-11-20,41.259998,41.389999,40.959999,41.049999,32.624577,1539800
2018-11-21,42.180000,42.279999,41.869999,41.869999,33.276276,1519000
2018-11-23,41.919998,41.939999,41.709999,41.740002,33.172958,775600
2018-11-26,43.040001,43.279999,43.029999,43.169998,34.309452,2172100
2018-11-27,42.880001,43.040001,42.680000,42.849998,34.055130,1571300
2018-11-28,42.770000,43.320000,42.570000,43.270000,34.388927,1936400
2018-11-29,42.720001,42.990002,42.689999,42.810001,34.023346,1519600
2018-11-30,42.240002,42.619999,42.209999,42.540001,33.808765,1542000
2018-12-03,43.470001,43.599998,43.279999,43.470001,34.547874,2232700
2018-12-04,43.259998,43.320000,42.330002,42.549999,33.816711,3637100
2018-12-06,40.799999,41.009998,39.580002,41.009998,32.592781,5616400
2018-12-07,41.380001,41.650002,40.680000,40.849998,32.465622,2877800
2018-12-10,40.740002,40.860001,39.990002,40.410000,32.115940,3089800
2018-12-11,40.869999,40.910000,40.099998,40.259998,31.996721,2524500
2018-12-12,41.380001,41.770000,41.259998,41.349998,32.863007,2489200
2018-12-13,41.459999,41.560001,41.180000,41.320000,32.839165,1969800
2018-12-14,40.689999,41.090000,40.689999,40.900002,32.505367,1247000
2018-12-17,40.980000,41.070000,40.540001,40.700001,32.346409,1965000
2018-12-18,41.169998,41.279999,40.669998,40.790001,32.417938,1923000
2018-12-19,41.119999,41.389999,40.299999,40.340000,32.060299,3763500
2018-12-20,41.150002,41.290001,40.740002,40.980000,32.568939,4317100
2018-12-21,40.970001,41.450001,40.410000,40.560001,32.235149,4191900
2018-12-24,40.540001,40.880001,40.279999,40.369999,32.084141,1771100
2018-12-26,40.639999,41.230000,40.009998,41.230000,32.767635,2421200
2018-12-27,40.299999,40.700001,39.849998,40.700001,32.346409,3242700
2018-12-28,41.009998,41.349998,40.880001,41.070000,32.640476,2190500
2018-12-31,41.169998,41.410000,40.849998,41.110001,32.672264,1719900
2019-01-02,40.369999,40.910000,40.250000,40.880001,32.489471,2565000
2019-01-03,40.529999,40.770000,40.290001,40.430000,32.131828,1479400
2019-01-04,41.330002,41.849998,41.259998,41.610001,33.069641,3060900
2019-01-07,41.040001,41.259998,40.860001,41.049999,32.624577,2212300
2019-01-08,41.509998,41.570000,40.950001,41.160000,32.711998,2888300
2019-01-09,41.459999,41.570000,41.130001,41.439999,32.934536,2733700
2019-01-10,41.130001,41.660000,41.099998,41.529999,33.006058,1690600
2019-01-11,41.290001,41.660000,41.209999,41.419998,32.918629,2055900
2019-01-14,40.910000,41.320000,40.889999,40.980000,32.568939,2763000
2019-01-15,40.950001,41.259998,40.810001,41.220001,32.759693,1962600
2019-01-16,41.430000,41.790001,41.400002,41.540001,33.014008,1480500
2019-01-17,41.150002,41.540001,41.139999,41.490002,32.974274,1632500
2019-01-18,42.040001,42.099998,41.799999,41.919998,33.316010,1600300
2019-01-22,41.410000,41.570000,41.250000,41.380001,32.886845,2288100
2019-01-23,41.700001,41.750000,41.439999,41.639999,33.093475,1219900
2019-01-24,41.169998,41.470001,41.169998,41.410000,32.910690,1410300
2019-01-25,41.869999,42.049999,41.759998,41.860001,33.268330,1606200
2019-01-28,41.529999,41.689999,41.439999,41.619999,33.077587,1331300
2019-01-29,42.200001,42.349998,42.040001,42.080002,33.443172,1605200
2019-01-30,42.570000,42.680000,42.320000,42.480000,33.761074,1879800
2019-01-31,41.900002,42.139999,41.779999,42.130001,33.482918,1925700
2019-02-01,41.580002,41.950001,41.529999,41.709999,33.149117,1496700
2019-02-04,41.770000,41.990002,41.720001,41.970001,33.355751,1492500
2019-02-05,42.169998,42.369999,42.090000,42.340000,33.649811,901900
2019-02-06,42.220001,42.369999,42.049999,42.099998,33.459064,1242000
2019-02-07,42.000000,42.099998,41.610001,41.820000,33.236534,1048200
2019-02-08,41.599998,41.750000,41.459999,41.750000,33.180908,974000
2019-02-11,41.810001,41.919998,41.650002,41.680000,33.125275,1515900
2019-02-12,42.029999,42.160000,41.970001,42.099998,33.459064,1085800
2019-02-13,42.549999,42.680000,42.299999,42.330002,33.641861,1592400
2019-02-14,42.240002,42.529999,42.130001,42.369999,33.673649,2038700
2019-02-15,42.790001,42.919998,42.650002,42.799999,34.015392,1562100
2019-02-19,41.160000,41.549999,40.930000,41.520000,32.998112,6951900
2019-02-20,41.840000,42.220001,41.770000,42.130001,33.482918,3107900
2019-02-21,40.950001,40.959999,40.660000,40.810001,33.262844,2306100
2019-02-22,40.720001,40.770000,40.599998,40.709999,33.181339,1601300
2019-02-25,40.660000,40.759998,40.529999,40.590000,33.083527,1952800
2019-02-26,40.540001,40.849998,40.520000,40.759998,33.222084,1667600
2019-02-27,40.980000,41.189999,40.939999,41.130001,33.523659,1823800
2019-02-28,40.869999,41.150002,40.779999,40.830002,33.279152,2357400
2019-03-01,40.770000,40.950001,40.490002,40.610001,33.099831,2006400
2019-03-04,40.700001,40.790001,40.509998,40.680000,33.156876,2050100
2019-03-05,40.880001,41.119999,40.810001,41.000000,33.417706,1677900
2019-03-06,41.080002,41.139999,40.919998,40.970001,33.393253,1071500
2019-03-07,40.939999,40.970001,40.689999,40.869999,33.311749,2177500
2019-03-08,40.650002,40.910000,40.650002,40.869999,33.311749,1630600
2019-03-11,40.939999,41.070000,40.919998,41.009998,33.425850,1770800
2019-03-12,41.000000,41.130001,40.980000,41.070000,33.474762,1232700
2019-03-13,40.980000,41.169998,40.910000,41.119999,33.515514,1975700
2019-03-14,41.139999,41.279999,41.020000,41.139999,33.531811,2359300
2019-03-15,41.130001,41.470001,41.130001,41.410000,33.751884,2898200
2019-03-18,41.419998,41.570000,41.310001,41.529999,33.849689,2314800
2019-03-19,41.490002,41.610001,41.310001,41.380001,33.727432,2119500
2019-03-20,41.330002,41.459999,41.189999,41.209999,33.588879,1949500
2019-03-21,41.200001,41.270000,40.990002,41.070000,33.474762,3258600
2019-03-22,40.660000,40.720001,40.340000,40.419998,32.944973,2574300
2019-03-25,40.560001,40.660000,40.349998,40.430000,32.953117,2316200
2019-03-26,40.560001,40.639999,40.410000,40.580002,33.075375,1508300
2019-03-27,40.590000,40.720001,40.310001,40.650002,33.132435,2269800
2019-03-28,40.380001,40.520000,40.279999,40.509998,33.018318,2618900
2019-03-29,40.680000,40.709999,40.419998,40.580002,33.075375,1968100
2019-04-01,41.389999,41.840000,41.360001,41.759998,34.037159,3113300
2019-04-02,42.160000,42.299999,42.070000,42.150002,34.355030,2877400
2019-04-03,42.610001,42.720001,42.500000,42.549999,34.681061,2406100
2019-04-04,42.180000,42.439999,42.180000,42.299999,34.477295,1447100
2019-04-05,42.599998,42.660000,42.419998,42.480000,34.624001,1407400
2019-04-08,42.450001,42.580002,42.330002,42.560001,34.689205,1140100
2019-04-09,42.770000,42.790001,42.560001,42.630001,34.746269,1624800
2019-04-10,42.619999,42.689999,42.250000,42.540001,34.672905,4159900
2019-04-11,42.660000,42.750000,42.470001,42.590000,34.713661,1388000
2019-04-12,43.160000,43.270000,43.000000,43.040001,35.080444,1618200
2019-04-15,43.040001,43.040001,42.820000,42.889999,34.958172,908000
2019-04-16,43.330002,43.439999,43.180000,43.330002,35.316811,1297600
2019-04-17,43.630001,43.630001,43.330002,43.459999,35.422771,1443100
2019-04-18,43.340000,43.389999,43.240002,43.250000,35.251610,917400
2019-04-22,43.090000,43.310001,43.020000,43.220001,35.227154,695400
2019-04-23,43.060001,43.230000,43.009998,43.150002,35.170105,1144700
2019-04-24,42.860001,42.880001,42.709999,42.830002,34.909275,1134300
2019-04-25,42.520000,42.849998,42.480000,42.759998,34.852222,1607300
2019-04-26,43.070000,43.090000,42.950001,43.070000,35.104893,1025800
2019-04-29,43.139999,43.380001,43.139999,43.299999,35.292358,1250500
2019-04-30,43.270000,43.630001,43.180000,43.570000,35.512424,1825500
2019-05-01,43.520000,43.619999,43.189999,43.200001,35.210854,2108300
2019-05-02,43.500000,43.639999,43.400002,43.470001,35.430916,2154200
2019-05-03,44.529999,44.930000,44.490002,44.700001,36.433449,2373900
2019-05-06,43.389999,43.869999,43.330002,43.790001,35.691742,2412600
2019-05-07,43.279999,43.290001,43.020000,43.150002,35.170105,2457200
2019-05-08,42.869999,43.000000,42.790001,42.840000,34.917431,2055800
2019-05-09,42.200001,42.820000,42.119999,42.779999,34.868523,2214100
2019-05-10,42.560001,42.970001,42.400002,42.860001,34.933735,1450800
2019-05-13,42.259998,42.369999,42.000000,42.070000,34.289825,1615700
2019-05-14,42.160000,42.340000,42.049999,42.150002,34.355030,1500200
2019-05-15,42.220001,42.669998,42.130001,42.560001,34.689205,1593300
2019-05-16,42.150002,42.369999,42.130001,42.230000,34.829418,1561500
2019-05-17,41.580002,41.830002,41.549999,41.610001,34.318066,1784100
2019-05-20,41.310001,41.500000,41.240002,41.419998,34.161366,1857700
2019-05-21,41.660000,41.830002,41.570000,41.680000,34.375805,1550400
2019-05-22,41.549999,41.840000,41.549999,41.700001,34.392303,1583500
2019-05-23,41.689999,41.830002,41.509998,41.810001,34.483017,1777700
2019-05-24,41.959999,42.060001,41.869999,42.000000,34.639721,978400
2019-05-28,41.700001,41.830002,41.560001,41.560001,34.276833,1573200
2019-05-29,41.169998,41.580002,41.169998,41.560001,34.276833,2005000
2019-05-30,41.330002,41.430000,41.200001,41.290001,34.054150,1927300
2019-05-31,40.560001,40.830002,40.500000,40.770000,33.625278,2017600
2019-06-03,40.869999,40.959999,40.740002,40.840000,33.683006,1837300
2019-06-04,41.090000,41.259998,40.980000,41.189999,33.971676,1873200
2019-06-05,41.110001,41.180000,40.959999,41.139999,33.930428,1450100
2019-06-06,41.029999,41.259998,40.910000,41.180000,33.963421,1575100
2019-06-07,41.450001,41.599998,41.400002,41.459999,34.194355,1411700
2019-06-10,41.580002,41.799999,41.549999,41.639999,34.342808,959900
2019-06-11,41.880001,41.900002,41.720001,41.750000,34.433537,1232200
2019-06-12,41.490002,41.490002,41.220001,41.220001,33.996418,1507800
2019-06-13,41.189999,41.200001,40.980000,41.049999,33.856205,1178700
2019-06-14,40.740002,40.810001,40.650002,40.759998,33.617020,1684000
2019-06-17,41.000000,41.040001,40.599998,40.639999,33.518051,1121500
2019-06-18,41.150002,41.439999,41.070000,41.240002,34.012913,1701500
2019-06-19,41.610001,41.619999,41.400002,41.419998,34.161366,1186100
2019-06-20,41.560001,41.669998,41.450001,41.650002,34.351055,2226700
2019-06-21,41.110001,41.320000,41.029999,41.099998,33.897442,2861400
2019-06-24,41.049999,41.270000,41.020000,41.060001,33.864452,902000
2019-06-25,41.090000,41.209999,40.959999,40.980000,33.798470,1164800
2019-06-26,41.389999,41.410000,41.139999,41.160000,33.946922,1695100
2019-06-27,41.470001,41.570000,41.369999,41.410000,34.153118,1267400
2019-06-28,41.669998,41.869999,41.560001,41.740002,34.425293,1703400
2019-07-01,42.000000,42.049999,41.750000,41.869999,34.532505,1219800
2019-07-02,42.020000,42.150002,41.959999,42.080002,34.705704,1209000
2019-07-03,42.040001,42.160000,42.029999,42.099998,34.722195,751300
2019-07-05,42.130001,42.169998,41.900002,42.080002,34.705704,1028200
2019-07-08,41.650002,41.869999,41.580002,41.810001,34.483017,991400
2019-07-09,41.740002,41.860001,41.660000,41.840000,34.507767,1250600
2019-07-10,41.759998,41.900002,41.580002,41.650002,34.351055,1193300
2019-07-11,41.669998,41.740002,41.599998,41.700001,34.392303,1043100
2019-07-12,41.680000,41.720001,41.599998,41.630001,34.334560,883600
2019-07-15,41.799999,41.810001,41.650002,41.700001,34.392303,1036400
2019-07-16,41.560001,41.730000,41.490002,41.500000,34.227345,856200
2019-07-17,41.419998,41.439999,41.180000,41.230000,34.004665,1042300
2019-07-18,41.400002,41.450001,41.270000,41.430000,34.169613,948500
2019-07-19,41.200001,41.430000,41.200001,41.340000,34.095387,1380700
2019-07-22,41.400002,41.450001,41.240002,41.430000,34.169613,1124500
2019-07-23,41.820000,41.860001,41.639999,41.650002,34.351055,1472400
2019-07-24,41.040001,41.139999,41.000000,41.090000,33.889194,1443600
2019-07-25,41.009998,41.110001,40.730000,40.910000,33.740738,2571300
2019-07-26,41.040001,41.139999,40.970001,41.049999,33.856205,926300
2019-07-29,40.830002,40.939999,40.599998,40.599998,33.485062,1269400
2019-07-30,40.419998,40.480000,40.299999,40.389999,33.311867,1471900
2019-07-31,40.099998,40.299999,39.919998,40.160000,33.122169,2099800
2019-08-01,40.110001,40.380001,39.700001,39.720001,32.759281,3585300
2019-08-02,39.410000,39.419998,39.029999,39.360001,32.462376,2878000
2019-08-05,38.430000,38.490002,37.830002,37.990002,31.332453,5503800
2019-08-06,38.619999,38.619999,38.070000,38.320000,31.604620,3278800
2019-08-07,37.980000,38.369999,37.880001,38.270000,31.563389,3152300
2019-08-08,38.110001,38.430000,37.980000,38.349998,31.629362,3152700
2019-08-09,37.820000,37.869999,37.529999,37.779999,31.159254,3493800
2019-08-12,36.810001,37.060001,36.720001,36.790001,30.342747,4140400
2019-08-13,36.759998,37.220001,36.709999,37.009998,30.524189,4210400
2019-08-14,36.290001,36.410000,36.000000,36.000000,29.691189,10349000
2019-08-15,35.880001,35.980000,35.619999,35.639999,29.808285,6716800
2019-08-16,36.040001,36.279999,35.990002,36.119999,30.209736,4915600
2019-08-19,36.720001,36.759998,35.619999,36.560001,30.577744,3778100
2019-08-20,36.360001,36.400002,36.130001,36.169998,30.251558,2650800
